"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","High Density","Book Ser"
"Acta Anal. Funct. Appl.","Acta Analysis Functionalis Applicata. AAFA. Yingyong Fanhanfenxi Xuebao","","Sci. Press Beijing, Beijing.","1009-1327","N","Y","N"
"Acta Appl. Math.","Acta Applicandae Mathematicae. An International Survey Journal on Applying Mathematics and Mathematical Applications","","Springer, Dordrecht.","0167-8019","N","Y","N"
"Acta Arith.","Acta Arithmetica","","Polish Acad. Sci. Inst. Math., Warsaw.","0065-1036","N","Y","N"
"Acta Biotheor.","Acta Biotheoretica. Mathematical and Philosophical Foundations of Biological and Biomedical Science","","Springer, Dordrecht.","0001-5342","Y","N","N"
"Acta Cient. Venezolana","Acta Cientifica Venezolana. Asociacion Venezolana para el Avance de la Ciencia","","Asoc. Venezolana Avance Cien., Caracas.","0001-5504","N","N","N"
"Acta Comment. Univ. Tartu. Math.","Acta et Commentationes Universitatis Tartuensis de Mathematica","","Univ. Tartu, Fac. Math. Comput. Sci., Tartu.","1406-2283","N","Y","N"
"Acta Crystallogr. Sect. A","Acta Crystallographica Section A. Foundations and Advances","","Wiley, Chichester.","0108-7673","N","N","N"
"Acta Cybernet.","Acta Cybernetica","","Univ. Szeged. Inst. Inform., Szeged.","0324-721X","N","N","N"
"Acta Hist. Leopoldina","Acta Historica Leopoldina","","Dtsch. Akad. Naturforscher Leopold., Halle/Saale.","0001-5857","N","N","Y"
"Acta Inform.","Acta Informatica","","Springer, Berlin.","0001-5903","N","Y","N"
"Acta Math.","Acta Mathematica","","Inst. Mittag-Leffler, Djursholm.","0001-5962","N","Y","N"
"Acta Math. Acad. Paedagog. Nyhazi. (N.S.)","Acta Mathematica. Academiae Paedagogicae Nyiregyhaziensis. New Series","","Coll. Nyhaza., Nyiregyhaza.","1786-0091","N","Y","N"
"Acta Math. Appl. Sin.","Acta Mathematicae Applicatae Sinica. Yingyong Shuxue Xuebao","","Chinese Math. Soc., Beijing.","0254-3079","N","Y","N"
"Acta Math. Appl. Sin. Engl. Ser.","Acta Mathematicae Applicatae Sinica. English Series","","Springer, Heidelberg.","0168-9673","N","Y","N"
"Acta Math. Hungar.","Acta Mathematica Hungarica","","Akad. Kiado, Budapest.","0236-5294","N","Y","N"
"Acta Math. Sci. Ser. A Chin. Ed.","Acta Mathematica Scientia. Series A. Shuxue Wuli Xuebao. Chinese Edition","","Kexue Chubanshe (Science Press), Beijing.","1003-3998","N","Y","N"
"Acta Math. Sci. Ser. B Engl. Ed.","Acta Mathematica Scientia. Series B. English Edition","","Sci. Press Beijing, Beijing.","0252-9602","N","Y","N"
"Acta Math. Sin. (Engl. Ser.)","Acta Mathematica Sinica (English Series)","","Springer, Berlin.","1439-8516","N","Y","N"
"Acta Math. Sinica (Chin. Ser.)","Acta Mathematica Sinica. Chinese Series","","Chinese Math. Soc., Acta Math. Sinica Ed. Comm., Beijing.","0583-1431","N","Y","N"
"Acta Math. Univ. Comenian. (N.S.)","Acta Mathematica Universitatis Comenianae. New Series","","Comenius Univ. Press, Bratislava.","0862-9544","N","Y","N"
"Acta Math. Vietnam.","Acta Mathematica Vietnamica","","Vietnam. Acad. Sci. Technol., Inst. Math., Hanoi.","0251-4184","N","Y","N"
"Acta Mech.","Acta Mechanica","","Springer, Vienna.","0001-5970","N","N","N"
"Acta Mech. Sin.","Acta Mechanica Sinica","","Springer, Berlin.","0567-7718","N","N","N"
"Acta Numer.","Acta Numerica","","Cambridge Univ. Press, Cambridge.","0962-4929","N","Y","N"
"Acta Phys. Polon. B","Jagellonian University. Institute of Physics. Acta Physica Polonica B","","Jagellonian Univ., Krakow.","0587-4254","N","N","N"
"Acta Sci. Math. (Szeged)","Acta Universitatis Szegediensis. Acta Scientiarum Mathematicarum","","Univ. Szeged, Szeged.","0001-6969","N","Y","N"
"Acta Sci. Natur. Univ. Sunyatseni","Acta Scientiarum Naturalium Universitatis Sunyatseni. Zhongshan Daxue Xuebao. Ziran Kexue Ban","","J. Zhongshan Univ., Editor. Dept., Guangzhou.","0529-6579","N","N","N"
"Acta Tech.","Acta Technica","","Inst. Thermomech. AS CR, v.v.i., Prague.","0001-7043","N","N","N"
"Acta Univ. Apulensis Math. Inform.","Acta Universitatis Apulensis. Mathematics. Informatics","","``1 Dec. 1918'' Univ. Alba Iulia, Dep. Math. Inform., Alba Iulia.","1582-5329","N","N","N"
"Acta Univ. M. Belii Ser. Math.","Acta Universitatis Matthiae Belii. Series Mathematics","","Sci. Res. Inst. Matej Bel Univ., Banska Bystrica.","1338-712X","N","Y","N"
"Acta Univ. Palack. Olomuc. Fac. Rerum Natur. Math.","Acta Universitatis Palackianae Olomucensis. Facultas Rerum Naturalium. Mathematica","","Palacky Univ. Olomouc, Olomouc.","0231-9721","N","Y","N"
"Acta Univ. Sapientiae Math.","Acta Universitatis Sapientiae. Mathematica. An International Scientific Journal of Sapientia University","","Acta Univ. Sapientiae Math., Cluj-Napoca.","1844-6094","N","N","N"
"Actas Congr. ``Dr. Antonio A. R. Monteiro''","Actas del Congreso ``Dr. Antonio A. R. Monteiro''","Proceedings of ``Dr. Antonio A. R. Monteiro'' Congress of Mathematics","Univ. Nac. del Sur, Bahia Blanca.","0327-9170","N","N","Y"
"ACTEX Acad. Ser.","ACTEX Academic Series","","ACTEX Publ., Winsted, CT.","","Y","N","Y"
"ACTEX Prof. Ser.","ACTEX Professional Series","","ACTEX Publ., Winsted, CT.","","Y","N","Y"
"Adapt. Comput. Mach. Learn.","Adaptive Computation and Machine Learning","","MIT Press, Cambridge, MA.","","N","N","Y"
"Adapt. Learn. Optim.","Adaptation, Learning, and Optimization","","Springer, Heidelberg.","1867-4534","N","N","Y"
"Adv. Adapt. Data Anal.","Advances in Adaptive Data Analysis. Theory and Applications","","World Sci. Publishing, Singapore.","1793-5369","N","N","N"
"Adv. Appl. Clifford Algebr.","Advances in Applied Clifford Algebras","","Birkhauser Verlag, Basel.","0188-7009","N","N","N"
"Adv. Appl. Discrete Math.","Advances and Applications in Discrete Mathematics","","Pushpa, Allahabad.","0974-1658","N","Y","N"
"Adv. Appl. Fluid Mech.","Advances and Applications in Fluid Mechanics","","Pushpa, Allahabad.","0973-4686","N","N","N"
"Adv. Appl. Math.","Advances in Applied Mathematics","","CRC Press, Boca Raton, FL.","","Y","N","Y"
"Adv. Appl. Math. Mech.","Advances in Applied Mathematics and Mechanics","","Glob. Sci. Pr., Hong Kong.","2070-0733","N","N","N"
"Adv. Appl. Math. Sci.","Advances and Applications in Mathematical Sciences","","Mili Publications, Allahabad.","0974-6803","N","N","N"
"Adv. Appl. Stat. Sci.","Advances and Applications in Statistical Sciences","","Mili Publications, Allahabad.","0974-6811","N","N","N"
"Adv. Calc. Var.","Advances in Calculus of Variations","","De Gruyter, Berlin.","1864-8258","N","Y","N"
"Adv. Complex Syst.","Advances in Complex Systems. A Multidisciplinary Journal","","World Sci. Publ., Singapore.","0219-5259","N","N","N"
"Adv. Comput. Fluid Dyn.","Advances in Computational Fluid Dynamics","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Comput. Intell. Robot. Book Ser. (ACIR)","Advances in Computational Intelligence and Robotics Book Series (ACIR)","","IGI Global, Hershey, PA.","2327-0411","Y","N","Y"
"Adv. Comput. Manag. Sci.","Advances in Computational Management Science","","Springer, Cham.","","N","N","Y"
"Adv. Comput. Math.","Advances in Computational Mathematics","","Springer, New York.","1019-7168","N","Y","N"
"Adv. Comput. Vis. Pattern Recognit.","Advances in Computer Vision and Pattern Recognition","","Springer, London.","2191-6586","N","N","Y"
"Adv. Courses Math. CRM Barcelona","Advanced Courses in Mathematics. CRM Barcelona","","Birkhauser/Springer, Basel.","","N","N","Y"
"Adv. Data Anal. Classif.","Advances in Data Analysis and Classification. ADAC","","Springer, Berlin.","1862-5347","N","N","N"
"Adv. Database Syst.","Advances in Database Systems","","Springer, New York.","1386-2944","N","N","Y"
"Adv. Decis. Sci.","Advances in Decision Sciences","","Hindawi Publ. Corp., New York.","2090-3359","N","N","N"
"Adv. Delays Dyn.","Advances in Delays and Dynamics","","Springer, Heidelberg.","2197-117X","Y","N","Y"
"Adv. Des. Control","Advances in Design and Control","","SIAM, Philadelphia, PA.","","N","N","Y"
"Adv. Differ. Equ. Control Process.","Advances in Differential Equations and Control Processes","","Pushpa, Allahabad.","0974-3243","N","Y","N"
"Adv. Difference Equ.","Advances in Difference Equations","","Springer, Berlin.","1687-1847","N","Y","N"
"Adv. Differential Equations","Advances in Differential Equations","","Khayyam, Athens, OH.","1079-9389","N","Y","N"
"Adv. Dyn. Syst. Appl.","Advances in Dynamical Systems and Applications","","Res. India Publ., Delhi.","0973-5321","N","Y","N"
"Adv. Econom.","Advances in Econometrics","","Emerald Group Publ, Ltd., Bingley.","0731-9053","N","N","Y"
"Adv. Exp. Med. Biol.","Advances in Experimental Medicine and Biology","","Springer, Dordrecht.","0065-2598","N","N","Y"
"Adv. Fuzzy Syst.","Advances in Fuzzy Systems","","Hindawi Publ. Corp., New York.","1687-7101","N","N","N"
"Adv. Geom.","Advances in Geometry","","De Gruyter, Berlin.","1615-715X","N","Y","N"
"Adv. Geophys. Environ. Mech. Math.","Advances in Geophysical and Environmental Mechanics and Mathematics","","Springer, Heidelberg.","1866-8348","N","N","Y"
"Adv. Group Decis. Negot.","Advances in Group Decision and Negotiation","","Springer, Dordrecht.","","Y","N","Y"
"Adv. High Energy Phys.","Advances in High Energy Physics","","Hindawi Publ. Corp., New York.","1687-7357","N","N","N"
"Adv. in Appl. Math.","Advances in Applied Mathematics","","Elsevier, Inc., San Diego, CA.","0196-8858","N","Y","N"
"Adv. in Appl. Probab.","Advances in Applied Probability","","Appl. Probab. Trust, Sheffield.","0001-8678","N","Y","N"
"Adv. Ind. Control","Advances in Industrial Control","","Springer, London.","1430-9491","N","N","Y"
"Adv. Inf. Knowl. Process.","Advanced Information and Knowledge Processing","","Springer, Cham.","1610-3947","N","N","Y"
"Adv. Intell. Syst. Comput.","Advances in Intelligent Systems and Computing","","Springer, Heidelberg.","2194-5357","N","N","Y"
"Adv. Jpn. Bus. Econ.","Advances in Japanese Business and Economics","","Springer, Tokyo.","2197-8859","N","N","Y"
"Adv. Lect. Math.","Advanced Lectures in Mathematics","","Springer Spektrum, Wiesbaden.","0932-7134","N","N","Y"
"Adv. Lect. Math. (ALM)","Advanced Lectures in Mathematics (ALM)","","Int. Press, Somerville, MA.","","N","N","Y"
"Adv. Log.","Advances in Logic","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Math.","Advances in Mathematics","","Elsevier, Inc., Amsterdam.","0001-8708","N","Y","N"
"Adv. Math. (China)","Advances in Mathematics (China). Shuxue Jinzhan","","Peking Univ. Press, Beijing.","1000-0917","N","Y","N"
"Adv. Math. Commun.","Advances in Mathematics of Communications","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","1930-5346","N","Y","N"
"Adv. Math. Econ.","Advances in Mathematical Economics","","Springer, Tokyo.","1866-2226","N","N","Y"
"Adv. Math. Fluid Mech.","Advances in Mathematical Fluid Mechanics","","Birkhauser/Springer, Cham.","","N","N","Y"
"Adv. Math. Phys.","Advances in Mathematical Physics","","Hindawi Publ. Corp., New York.","1687-9120","N","Y","N"
"Adv. Math. Sci.","Advances in the Mathematical Sciences","","Amer. Math. Soc., Providence, RI.","","N","N","Y"
"Adv. Math. Sci. Appl.","Advances in Mathematical Sciences and Applications","","Gakkotosho, Tokyo.","1343-4373","N","Y","N"
"Adv. Mech. Math.","Advances in Mechanics and Mathematics","","Springer, Cham.","1571-8689","N","N","Y"
"Adv. Nat. Technol. Hazards Res.","Advances in Natural and Technological Hazards Research","","Springer, Dordrecht.","1878-9897","N","N","Y"
"Adv. Nonlinear Anal.","Advances in Nonlinear Analysis","","De Gruyter, Berlin.","2191-9496","N","Y","N"
"Adv. Nonlinear Stud.","Advanced Nonlinear Studies","","Adv. Nonlinear Stud., San Antonio, TX.","1536-1365","N","Y","N"
"Adv. Nonlinear Var. Inequal.","Advances in Nonlinear Variational Inequalities. An International Journal","","Internat. Publ., San Marcos, TX.","1092-910X","N","N","N"
"Adv. Numer. Anal.","Advances in Numerical Analysis","","Hindawi Publ. Corp., New York.","1687-9562","N","Y","N"
"Adv. Numer. Math.","Advances in Numerical Mathematics","","Springer Spektrum, Wiesbaden.","1616-2994","N","N","Y"
"Adv. Oper. Res.","Advances in Operations Research","","Hindawi Publ. Corp., New York.","1687-9147","N","N","N"
"Adv. Partial Differ. Equ. (Basel)","Advances in Partial Differential Equations (Basel)","","Springer, Basel.","","N","N","Y"
"Adv. Process Syst. Eng.","Advances in Process Systems Engineering","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Pure Appl. Math.","Advances in Pure and Applied Mathematics","","De Gruyter, Berlin.","1867-1152","N","Y","N"
"Adv. Ser. Electr. Comput. Engrg.","Advanced Series in Electrical and Computer Engineering","","World Sci. Publ., River Edge, NJ.","","N","N","Y"
"Adv. Ser. Math. Phys.","Advanced Series in Mathematical Physics","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Ser. Math. Psychol.","Advanced Series on Mathematical Psychology","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Ser. Nonlinear Dynam.","Advanced Series in Nonlinear Dynamics","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Ser. Stat. Sci. Appl. Probab.","Advanced Series on Statistical Science & Applied Probability","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Adv. Stat. Probab. Actuar. Sci.","Advances in Statistics, Probability and Actuarial Science","","World Sci. Publ., Hackensack, NJ.","2010-1317","N","N","Y"
"Adv. Struct. Mater.","Advanced Structured Materials","","Springer, Cham.","1869-8433","N","N","Y"
"Adv. Stud. Pure Math.","Advanced Studies in Pure Mathematics","","Math. Soc. Japan, Tokyo.","","N","N","Y"
"Adv. Stud. Pure Math.","Advanced Studies in Pure Mathematics","","North-Holland, Amsterdam.","","N","N","Y"
"Adv. Stud. Theoret. Appl. Econometrics","Advanced Studies in Theoretical and Applied Econometrics","","Springer, Dordrecht.","","N","N","Y"
"Adv. Textb. Control Signal Process.","Advanced Textbooks in Control and Signal Processing","","Springer, London.","1439-2232","N","N","Y"
"Adv. Texts Econometrics","Advanced Texts in Econometrics","","Oxford Univ. Press, New York.","","N","N","Y"
"Adv. Theor. Math. Phys.","Advances in Theoretical and Mathematical Physics","","Int. Press, Somerville, MA.","1095-0761","N","Y","N"
"Adv. Topics Sci. Technol. China","Advanced Topics in Science and Technology in China","","Springer, Heidelberg.","1995-6819","N","N","Y"
"Aequationes Math.","Aequationes Mathematicae","","Birkhauser Verlag, Basel.","0001-9054","N","Y","N"
"AEsthetica","AEsthetica","","Presses Univ. Rennes, Rennes.","","N","N","Y"
"Afr. Diaspora J. Math.","African Diaspora Journal of Mathematics","","Math. Res. Publ., Washington, DC.","1539-854X","N","Y","N"
"Afr. Mat.","Afrika Matematika","","Springer, Berlin.","1012-9405","N","Y","N"
"Afr. Math. Ann. AFMA","Africa Mathematics Annals. AFMA. A Pan African Journal of Mathematics","","Afr. Math. Ann., Abidjan.","2305-3836","N","N","N"
"Afr. Stat.","Afrika Statistika","","The Statistics and Probability African Society, Saint-Louis.","2316-090X","N","Y","N"
"AI Commun.","AI Communications. The European Journal on Artificial Intelligence","","IOS, Amsterdam.","0921-7126","N","N","N"
"AIMS Libr. Ser.","African Institute of Mathematics (AIMS) Library Series","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"AIMS Ser. Appl. Math.","AIMS Series on Applied Mathematics","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","N","N","Y"
"AIMS Ser. Differ. Equ. Dyn. Syst.","AIMS Series on Differential Equations & Dynamical Systems","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","N","N","Y"
"AIP Conf. Proc.","AIP Conference Proceedings","","Amer. Inst. Phys., Melville, NY.","0094-243X","N","N","Y"
"AKCE Int. J. Graphs Comb.","AKCE International Journal of Graphs and Combinatorics","","Kalasalingam Univ., Krishnankoil.","0972-8600","N","Y","N"
"Albanian J. Math.","Albanian Journal of Mathematics","","Albanian J. Math., Vlore.","1930-1235","N","Y","N"
"ALEA Lat. Am. J. Probab. Math. Stat.","ALEA. Latin American Journal of Probability and Mathematical Statistics","","Inst. Mat. Pura Apl. (IMPA), Rio de Janeiro.","1980-0436","N","Y","N"
"Algebr. Appl.","Algebra and Applications","","Springer, Cham.","1572-5553","N","N","Y"
"Algebr. Geom.","Algebraic Geometry","","Foundation Compositio Mathematics, Amsterdam.","2214-2584","N","Y","N"
"Algebr. Geom. Topol.","Algebraic & Geometric Topology","","Math. Sci. Publ., Berkeley, CA.","1472-2747","N","Y","N"
"Algebr. Represent. Theory","Algebras and Representation Theory","","Springer, Dordrecht.","1386-923X","N","Y","N"
"Algebra","Algebra","","Hindawi Publ. Corp., New York.","2314-4106","Y","Y","N"
"Algebra Appl. Class. Mod.","L'Algebra e le sue Applicazioni tra Classico e Moderno","Algebra and its Applications: Classical and Modern","Aracne, Rome.","","Y","N","Y"
"Algebra Colloq.","Algebra Colloquium","","World Sci. Publ., Singapore.","1005-3867","N","Y","N"
"Algebra Discrete Math.","Algebra and Discrete Mathematics","","World Sci. Publ., Hackensack, NJ.","1793-5873","N","N","Y"
"Algebra Discrete Math.","Algebra and Discrete Mathematics","","Lugansk Taras Shevchenko Natl. Univ., Lugansk.","1726-3255","N","Y","N"
"Algebra i Analiz","Rossiiskaya Akademiya Nauk. Algebra i Analiz","","``Nauka'' S.-Peterburg. Otdel., St. Petersburg.","0234-0852","N","Y","N"
"Algebra Logic","Algebra and Logic","","Springer, New York.","0002-5232","N","N","N"
"Algebra Logika","Algebra i Logika. Institut Diskretnoi Matematiki i Informatiki","","Sib. Fond Algebry Log., Novosibirsk.","0373-9252","N","Y","N"
"Algebra Number Theory","Algebra & Number Theory","","Math. Sci. Publ., Berkeley, CA.","1937-0652","N","Y","N"
"Algebra Universalis","Algebra Universalis","","Birkhauser Verlag, Basel.","0002-5240","N","Y","N"
"Algorithmic Finance","Algorithmic Finance","","IOS, Amsterdam.","2158-5571","N","N","N"
"Algorithmica","Algorithmica. An International Journal in Computer Science","","Springer, New York.","0178-4617","N","Y","N"
"Algorithms (Basel)","Algorithms (Basel)","","MDPI, Basel.","1999-4893","N","N","N"
"Algorithms Combin.","Algorithms and Combinatorics","","Springer, Heidelberg.","0937-5511","N","N","Y"
"Algorithms Comput. Math.","Algorithms and Computation in Mathematics","","Springer, Heidelberg.","1431-1550","N","N","Y"
"Algoritmica","Algoritmica","","Aracne, Rome.","","Y","N","Y"
"Aligarh Bull. Math.","The Aligarh Bulletin of Mathematics","","Aligarh Muslim Univ., Aligarh.","0304-9787","N","Y","N"
"Aligarh J. Statist.","The Aligarh Journal of Statistics","","Aligarh Muslim Univ., Aligarh.","0971-0388","N","N","N"
"Alkalmaz. Mat. Lapok","Alkalmazott Matematikai Lapok","","Magyar Tudomanyos Akad., Budapest.","0133-3399","N","Y","N"
"Amer. J. Math.","American Journal of Mathematics","","Johns Hopkins Univ. Press, Baltimore, MD.","0002-9327","N","Y","N"
"Amer. Math. Monthly","American Mathematical Monthly","","Math. Assoc. America, Washington, DC.","0002-9890","N","N","N"
"Amer. Math. Soc. Colloq. Publ.","American Mathematical Society Colloquium Publications","","Amer. Math. Soc., Providence, RI.","0065-9258","N","N","Y"
"Amer. Math. Soc. Transl. Ser. 2","American Mathematical Society Translations, Series 2","","Amer. Math. Soc., Providence, RI.","0065-9290","N","N","Y"
"Amer. Statist.","The American Statistician","","Amer. Statist. Assoc., Alexandria, VA.","0003-1305","N","N","N"
"AMS Short Course Lecture Notes","AMS Short Course Lecture Notes","","Amer. Math. Soc., Providence, RI.","","N","N","Y"
"AMS/IP Stud. Adv. Math.","AMS/IP Studies in Advanced Mathematics","","Amer. Math. Soc., Providence, RI.","1089-3288","N","N","Y"
"An. Acad. Brasil. Cienc.","Anais da Academia Brasileira de Ciencias. Annals of the Brazilian Academy of Sciences","","Acad. Brasil. Cienc., Rio de Janeiro.","0001-3765","N","N","N"
"An. Stiint. Univ. Al. I. Cuza Iasi. Mat. (N.S.)","Analele Stiintifice ale Universitatii ``Al. I. Cuza'' din Iasi. Serie Noua. Matematica. Annals of the Alexandru Cuza University. Mathematics","","Univ. Al. I. Cuza, Iasi.","1221-8421","N","Y","N"
"An. Stiint. Univ. ``Ovidius'' Constanta Ser. Mat.","Analele Stiintifice ale Universitatii ``Ovidius'' Constanta. Seria Matematica. Mathematical Journal of the Ovidius University of Constantza","","Univ. ``Ovidius'' Constanta, Constanta.","1224-1784","N","Y","N"
"An. Univ. Bucur. Inform.","Analele Universitatii Bucuresti. Informatica","","Univ. Bucharest, Bucharest.","1224-7170","N","Y","N"
"An. Univ. Craiova Ser. Mat. Inform.","Analele Universitatii din Craiova. Seria Matematica-Informatica. Annals of the University of Craiova. Mathematics and Computer Science Series","","Univ. Craiova, Craiova.","1223-6934","N","N","N"
"An. Univ. Dunarea de Jos Galati Fasc. II Mat. Fiz. Mec. Teor.","Analele Universitatii ``Dunarea de Jos'' din Galati. Fascicula II. Matematica, Fizica, Mecanica Teoretica. Annals of the ``Dunarea de Jos'' University of Galati. Fascicle II. Mathematics, Physics, Theoretical Mechanics","","Galati University Press, Galati.","2067-2071","N","N","N"
"An. Univ. Oradea Fasc. Mat.","Analele Universitatii din Oradea. Fascicola Matematica","","Univ. Oradea, Oradea.","1221-1265","N","Y","N"
"An. Univ. Spiru Haret. Ser. Mat.-Inform.","Analele Universitatii Spiru Haret. Seria Matematica-Informatica. Annals of Spiru Haret University. Mathematics-Informatics Series","","Ed. Fundatiei Rom. Maine, Bucharest.","1841-7833","N","N","N"
"An. Univ. Vest Timis. Ser. Mat.-Inform.","Analele. Universitatii de Vest din Timisoara. Seria Matematica-Informatica. Annals of West University of Timisoara. Mathematics","","Univ. Vest Timisoara, Fac. Mat. Inform., Timisoara.","1841-3293","Y","Y","N"
"Anal. Appl. (Singap.)","Analysis and Applications","","World Sci. Publ., Singapore.","0219-5305","N","Y","N"
"Anal. Geom. Metr. Spaces","Analysis and Geometry in Metric Spaces","","De Gruyter Open, Berlin.","2299-3274","N","Y","N"
"Anal. Math.","Analysis Mathematica","","Akad. Kiado, Budapest.","0133-3852","N","Y","N"
"Anal. Math. Phys.","Analysis and Mathematical Physics","","Birkhauser Verlag, Basel.","1664-2368","N","Y","N"
"Anal. PDE","Analysis & PDE","","Math. Sci. Publ., Berkeley, CA.","2157-5045","N","Y","N"
"Anal. Theory Appl.","Analysis in Theory and Applications","","Glob. Sci. Pr., Hong Kong.","1672-4070","N","Y","N"
"Analog Circuits Signal Process.","Analog Circuits and Signal Processing","","Springer, New York.","","N","N","Y"
"Analysis (Berlin)","Analysis. International Mathematical Journal of Analysis and its Applications","","Oldenbourg Verlag, Munich.","0174-4747","N","Y","N"
"Analysis (Oxford)","Analysis","","Oxford Univ. Press, Oxford.","0003-2638","N","N","N"
"Anc. Mediterr. Mediev. Texts Contexts","Ancient Mediterranean and Medieval Texts and Contexts","","Brill, Leiden.","","N","N","Y"
"Ann. Acad. Rom. Sci. Ser. Math. Appl.","Annals of the Academy of Romanian Scientists. Series on Mathematics and its Applications","","Ed. Acad. Oamen. Stiinta Rom., Bucharest.","2066-5997","N","Y","N"
"Ann. Acad. Sci. Fenn. Math.","Annales Academiae Scientiarum Fennicae. Mathematica","","Acad. Sci. Fennica, Helsinki.","1239-629X","N","Y","N"
"Ann. Acad. Sci. Fenn. Math. Diss.","Academiae Scientiarum Fennicae. Annales. Mathematica. Dissertationes","","Acad. Sci. Fennica, Helsinki.","1239-6303","N","Y","N"
"Ann. Appl. Math.","Annals of Applied Mathematics. Yingyong Shuxue Niankan","","Fuzhou Univ., Fuzhou.","2096-0174","Y","Y","N"
"Ann. Appl. Probab.","The Annals of Applied Probability","","Inst. Math. Statist., Bethesda, MD.","1050-5164","N","Y","N"
"Ann. Appl. Stat.","The Annals of Applied Statistics","","Inst. Math. Statist., Beachwood, OH.","1932-6157","N","Y","N"
"Ann. Comb.","Annals of Combinatorics","","Birkhauser Verlag, Basel.","0218-0006","N","Y","N"
"Ann. Fac. Sci. Toulouse Math. (6)","Annales de la Faculte des Sciences de Toulouse. Mathematiques. Serie 6","","Univ. Paul Sabatier, Toulouse.","0240-2963","N","Y","N"
"Ann. Finance","Annals of Finance","","Springer, Berlin.","1614-2446","N","N","N"
"Ann. Fond. Louis de Broglie","Fondation Louis de Broglie. Annales","","Fond. Louis de Broglie, Paris.","0182-4295","N","N","N"
"Ann. Funct. Anal.","Annals of Functional Analysis","","Tusi Math. Res. Group (TMRG), Mashhad.","2008-8752","N","Y","N"
"Ann. Fuzzy Math. Inform.","Annals of Fuzzy Mathematics and Informatics","","Kyung Moon Sa, Seoul.","2093-9310","N","N","N"
"Ann. Global Anal. Geom.","Annals of Global Analysis and Geometry","","Springer, Dordrecht.","0232-704X","N","Y","N"
"Ann. Henri Poincare","Annales Henri Poincare. A Journal of Theoretical and Mathematical Physics","","Birkhauser Verlag, Basel.","1424-0637","N","N","N"
